o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
4200932,29053,F,361488.44,1995-03-03,3-MEDIUM,Clerk#000000578,0,usly express accounts believe blithely according to the fluffily ex
4200933,14767,O,316337.22,1996-10-25,4-NOT SPECIFIED,Clerk#000000349,0,l asymptotes nag qu
4200934,67489,O,36730.94,1998-01-31,5-LOW,Clerk#000000375,0, among the slyly pen
4200935,124787,O,74443.82,1996-07-27,2-HIGH,Clerk#000000368,0," the furiously regular accounts. even, even a"
4200960,144322,O,161654.32,1997-03-11,4-NOT SPECIFIED,Clerk#000000147,0,"etect fluffily toward the even, even excuses. foxes in"
4200961,106609,F,185426.95,1993-10-03,2-HIGH,Clerk#000000004,0,ly express ideas. requests are blithely according to 
4200962,1588,F,131800.95,1992-03-31,5-LOW,Clerk#000000270,0,l excuses nag fluffily. slyly regular deposits sleep across the carefully unu
4200963,133955,O,1184.69,1995-12-18,1-URGENT,Clerk#000000339,0,ackages. slyly special foxes boost quickly. accounts boost. special d
4200964,20525,P,300328.67,1995-06-01,2-HIGH,Clerk#000000184,0,e by the close theodolites. silent theodolites affi
4200965,109030,O,86194.94,1998-05-28,3-MEDIUM,Clerk#000000271,0,as sleep quickly foxes. i
4200966,47704,F,226584.86,1992-03-17,2-HIGH,Clerk#000000274,0,equests are. final deposits are carefully blithely spe
4200967,129694,F,128812.24,1994-09-02,4-NOT SPECIFIED,Clerk#000000017,0, ironic pinto beans. regular courts cajole. ironic 
4200992,100655,F,146726.35,1994-11-25,4-NOT SPECIFIED,Clerk#000000668,0," ironic, silent requests cajole against the carefully pending depos"
4200993,8489,O,392461.72,1997-10-01,3-MEDIUM,Clerk#000000685,0,jole above the blithely even deposits-- blithely final frays
4200994,21656,F,7065.89,1992-12-23,1-URGENT,Clerk#000000356,0,slyly express requests about the slyly even deposits dazzle always bl
4200995,62344,P,105354.43,1995-06-04,3-MEDIUM,Clerk#000000497,0,e carefully pending asymptote
4200996,59738,O,247168.53,1995-05-14,5-LOW,Clerk#000000672,0,ckly. blithely unusual ideas snooze blithely
4200997,52088,O,131662.33,1997-05-28,1-URGENT,Clerk#000000049,0," ideas sleep blithely alongside of the unusual, final asymptotes. quickly "
4200998,42418,F,229813.25,1995-01-14,3-MEDIUM,Clerk#000000287,0,s cajole furiously final pinto beans. packages cajole 
4200999,113200,O,63263.15,1996-05-06,3-MEDIUM,Clerk#000000985,0,e slyly ironic requests haggle carefully according to the always e
4201024,82669,O,162235.39,1995-08-18,2-HIGH,Clerk#000000748,0,tions. special deposits cajole slyly carefully ironic in
4201025,91838,F,205430.24,1994-05-14,4-NOT SPECIFIED,Clerk#000000782,0,ructions. ideas about the quickly express asymptotes w
4201026,13156,O,87650.32,1997-05-11,3-MEDIUM,Clerk#000000758,0, slyly above the blithely regula
4201027,145426,O,91222.02,1996-06-13,4-NOT SPECIFIED,Clerk#000000503,0,final theodolites. furi
4201028,65080,F,19247.16,1994-03-09,5-LOW,Clerk#000000030,0, foxes. carefully even platelets boost furiously 
4201029,130706,O,76230.47,1998-03-25,3-MEDIUM,Clerk#000000571,0,quickly. bold hockey players are agains
4201030,17662,O,236250.47,1996-11-18,3-MEDIUM,Clerk#000000621,0,"l accounts are ironic, pending requests! pinto beans"
4201031,124507,F,155766.33,1993-04-08,4-NOT SPECIFIED,Clerk#000000504,0,s wake furiously alongside of th
4201056,80095,F,185882.99,1992-06-23,3-MEDIUM,Clerk#000000258,0,he quickly ironic account
4201057,26575,O,62658.56,1997-06-05,5-LOW,Clerk#000000058,0,uests. quickly close deposit
4201058,87895,O,218016.75,1997-02-25,5-LOW,Clerk#000000171,0,ular ideas detect slyly. f
4201059,28489,O,231381.23,1995-10-13,2-HIGH,Clerk#000000415,0,special deposits. carefully unusual foxes
4201060,139451,F,151512.61,1995-03-27,1-URGENT,Clerk#000000319,0,ts sleep carefully. carefully ironic excuses wake carefully 
4201061,138070,O,70990.12,1997-03-17,2-HIGH,Clerk#000000406,0,instructions are carefully blithely regular accounts. fluffi
4201062,36094,F,48527.70,1994-03-21,4-NOT SPECIFIED,Clerk#000000563,0,deposits sleep slyly furiously even deposits? quickly iron
4201063,11588,O,153804.18,1996-04-18,5-LOW,Clerk#000000293,0,ly careful dependencies. blithe 
4201088,53902,O,12986.50,1997-04-22,3-MEDIUM,Clerk#000000692,0,"ilent, regular request"
4201089,63439,F,309286.57,1992-02-14,3-MEDIUM,Clerk#000000185,0,of the furiously enticing accounts. slyly even ideas sleep after the caref
4201090,135802,O,118292.83,1995-08-09,4-NOT SPECIFIED,Clerk#000000189,0, ironic requests detect blithely about the quic
4201091,149710,F,261789.90,1994-11-04,1-URGENT,Clerk#000000521,0,uffily pending ideas. final requests sleep furiou
4201092,46222,O,142771.96,1996-03-15,1-URGENT,Clerk#000000783,0,pecial platelets according to the blithely regul
4201093,127354,F,235849.75,1993-10-22,2-HIGH,Clerk#000000027,0,platelets sleep fluffily bold deposi
4201094,77645,F,206933.69,1992-06-26,1-URGENT,Clerk#000000033,0,ld deposits across the quickly eve
4201095,121799,F,148637.25,1993-02-10,3-MEDIUM,Clerk#000000352,0,"final requests print after the express, ir"
4201120,9544,O,245001.47,1997-08-12,3-MEDIUM,Clerk#000000258,0,s are blithely pending foxes. deposits haggle slyly carefully
4201121,25132,O,63861.67,1998-06-07,2-HIGH,Clerk#000000160,0,"deposits haggle along the carefully ironic deposits. special, silent accou"
4201122,136604,O,167508.34,1995-07-25,2-HIGH,Clerk#000000073,0,s might nag furiously reg
4201123,149998,O,158592.64,1998-03-06,1-URGENT,Clerk#000000883,0,ests dazzle alongside of the furiously express deposits. special ideas x-ray a
4201124,116017,F,15953.06,1994-06-17,3-MEDIUM,Clerk#000000694,0,. fluffily unusual theodolites sleep slyly fu
4201125,16886,F,150994.87,1993-08-25,4-NOT SPECIFIED,Clerk#000000465,0,al deposits sleep around the quickly unusual packages. instru
4201126,147230,O,125362.01,1995-10-10,4-NOT SPECIFIED,Clerk#000000070,0, carefully-- requests sleep slyly above the pending requests. dep
4201127,80600,F,9237.70,1994-12-29,1-URGENT,Clerk#000000689,0," express, ironic asymptotes along the slyly unusual theodolites need to "
4201152,138187,F,221143.64,1995-01-31,2-HIGH,Clerk#000000048,0,"st along the carefully silent packages. ironic, f"
4201153,52579,F,184333.99,1993-05-09,2-HIGH,Clerk#000000986,0,s courts cajole blithely carefully silent deposits. carefully final
4201154,15811,O,162507.04,1998-07-26,1-URGENT,Clerk#000000308,0,efully along the furiously ironic d
4201155,81797,F,204774.48,1993-07-04,2-HIGH,Clerk#000000070,0,manent packages sleep quickly
4201156,7253,O,157083.92,1997-12-26,1-URGENT,Clerk#000000559,0,oss the blithely pending deposits cajole theodolites. blithely e
4201157,86305,O,73896.32,1997-08-03,3-MEDIUM,Clerk#000000518,0,ularly regular requests.
4201158,149755,F,70323.52,1994-11-01,5-LOW,Clerk#000000805,0,nts are along the express packages. slyly silent depo
4201159,62317,O,186380.11,1998-05-24,2-HIGH,Clerk#000000414,0,ncies boost slyly regular foxes. carefull
4201184,57631,F,161642.29,1993-02-08,4-NOT SPECIFIED,Clerk#000000715,0,ly against the carefully pending instruct
4201185,25796,O,204974.86,1998-01-05,2-HIGH,Clerk#000000397,0,arefully final instructions. slyly pending theodolites sleep 
4201186,50870,O,26350.77,1995-08-01,2-HIGH,Clerk#000000013,0,g platelets according to the 
4201187,106366,F,149171.00,1993-12-20,5-LOW,Clerk#000000084,0,y unusual accounts after the slyly sp
4201188,134473,O,16653.77,1997-04-06,5-LOW,Clerk#000000426,0,old asymptotes. packages detect closely. blithely 
4201189,21782,P,149832.35,1995-04-20,4-NOT SPECIFIED,Clerk#000000291,0,among the express depths. blithely regular deposits haggle even packa
4201190,75049,F,28866.79,1992-11-12,2-HIGH,Clerk#000000155,0,kages. ironic theodolites above the boldly bold pinto beans doze about the s
4201191,147610,F,174624.67,1993-10-09,3-MEDIUM,Clerk#000000257,0,ly. furiously final attainments sleep furiously after the attainme
4201216,29779,O,93691.13,1997-06-05,2-HIGH,Clerk#000000147,0,"es use furiously slyly even requests. express, express foxes"
4201217,92513,O,298078.62,1997-04-25,1-URGENT,Clerk#000000337,0,"deposits detect slyly. dogged, ironic ideas sleep. unusual instructi"
4201218,107275,O,99205.39,1998-02-21,4-NOT SPECIFIED,Clerk#000000902,0,dolites among the slyly regular packages believe according to the slyly ir
4201219,119089,O,247400.65,1995-06-10,4-NOT SPECIFIED,Clerk#000000868,0, foxes. dependencies cajole blithely final deposits! e
4201220,47204,F,256827.53,1993-05-18,3-MEDIUM,Clerk#000000181,0,the final packages. quickly regul
4201221,140824,F,133918.27,1994-07-12,2-HIGH,Clerk#000000122,0,usual theodolites detect blit
4201222,106258,O,96165.50,1996-11-08,3-MEDIUM,Clerk#000000829,0,ets. blithely final packages alongside of the blithely even deposits nag fur
4201223,104995,O,9793.45,1998-06-02,1-URGENT,Clerk#000000824,0, fluffily final deposits nag according to the quickly special dolphins
4201248,35194,O,176361.13,1996-03-14,4-NOT SPECIFIED,Clerk#000000398,0,ously ironic accounts.
4201249,35023,O,78947.00,1998-06-19,3-MEDIUM,Clerk#000000301,0,sits-- instructions maintain. fluffily express req
4201250,18343,F,210729.22,1993-04-24,1-URGENT,Clerk#000000168,0,l theodolites. expre
4201251,19343,F,78677.12,1992-04-18,3-MEDIUM,Clerk#000000974,0,eas. quickly special theodolites are along the quickly final patterns. fur
4201252,37243,F,180308.44,1993-06-29,5-LOW,Clerk#000000325,0,ing to the express orbits
4201253,142469,F,156776.54,1992-03-05,2-HIGH,Clerk#000000862,0,ts. carefully regular packages serve according to the ironic pinto beans. th
4201254,24829,O,284251.68,1996-05-11,2-HIGH,Clerk#000000561,0,lar instructions. slyly unusual accounts cajole carefully care
4201255,142109,O,75190.18,1996-09-06,2-HIGH,Clerk#000000955,0,uests. slyly express accounts detect som
4201280,111916,O,152469.98,1997-07-24,3-MEDIUM,Clerk#000000808,0,slyly unusual requests. re
4201281,100927,O,278120.37,1997-01-27,3-MEDIUM,Clerk#000000797,0,the blithely final ideas. dinos haggle. ideas 
4201282,68809,O,300038.70,1996-08-15,3-MEDIUM,Clerk#000000316,0,ously. regular ideas haggle blithely about 
4201283,121624,F,110584.16,1994-07-10,3-MEDIUM,Clerk#000000433,0,according to the slyly regular pl
4201284,70696,O,260425.60,1996-07-30,2-HIGH,Clerk#000000065,0,uickly bold requests cajole blithely-- slyly regular deposits after
4201285,22765,F,198130.62,1993-02-20,1-URGENT,Clerk#000000778,0,ns. ironic packages detect fur
4201286,105610,O,77656.59,1998-01-05,4-NOT SPECIFIED,Clerk#000000408,0,. furiously pending foxes sleep quickly even plat
4201287,15290,F,111783.89,1993-03-05,4-NOT SPECIFIED,Clerk#000000921,0,uffily across the ruthlessly unusual
4201312,28318,F,64173.60,1993-04-20,2-HIGH,Clerk#000000596,0,quickly slyly unusual accounts. slyly ironic sauternes engage furi
4201313,122458,F,252075.25,1993-04-04,4-NOT SPECIFIED,Clerk#000000381,0,g the blithely final requests. carefully even requests sleep furiously ag
4201314,120982,F,179160.82,1993-01-07,4-NOT SPECIFIED,Clerk#000000693,0,"ic accounts. final, ironic accounts sleep blithely among the even a"
4201315,92002,F,10528.72,1994-04-21,3-MEDIUM,Clerk#000000975,0, theodolites after the ironic dolphins x-ray about the packages
4201316,47876,O,21834.04,1997-06-18,2-HIGH,Clerk#000000237,0,ld instructions about the fur
4201317,48934,O,160071.12,1995-09-23,3-MEDIUM,Clerk#000000233,0,efully packages. carefully ironic theodolites nag fluffily. expres
4201318,111403,O,80195.93,1997-07-26,3-MEDIUM,Clerk#000000924,0,"nts. regular, idle packages haggle bli"
4201319,21472,O,14634.31,1998-06-26,3-MEDIUM,Clerk#000000788,0, cajole carefully after the carefully daring requests. quickly regul
4201344,100189,O,37605.59,1995-06-24,4-NOT SPECIFIED,Clerk#000000508,0,ly pending requests doubt quickly blithely spe
4201345,108283,O,125597.36,1996-06-22,4-NOT SPECIFIED,Clerk#000000616,0,final excuses are sometimes even r
4201346,95719,O,70017.98,1996-10-13,5-LOW,Clerk#000000900,0,egular patterns use after the accounts. e
4201347,117460,O,222139.83,1995-04-30,4-NOT SPECIFIED,Clerk#000000384,0,ffily even requests hag
4201348,121243,F,20145.66,1992-07-20,2-HIGH,Clerk#000000826,0,uests. regular ideas haggle quickly. slyly regular ideas at the ironic t
4201349,112225,O,119486.84,1997-08-25,5-LOW,Clerk#000000027,0,"packages. foxes sleep unusual, silent idea"
4201350,50200,F,117548.95,1994-11-11,3-MEDIUM,Clerk#000000173,0,ts sleep thinly after the silent packages. dependencies boost slyl
4201351,108493,F,217422.14,1994-12-30,3-MEDIUM,Clerk#000000695,0,nag blithely regular foxes. finally ironic
4201376,29645,F,309330.56,1994-11-17,5-LOW,Clerk#000000589,0,elets wake carefully expre
4201377,85009,O,258409.07,1996-07-10,3-MEDIUM,Clerk#000000519,0, the quickly ironic accounts haggle blithely fluffily final idea
4201378,129592,O,246976.75,1995-07-08,2-HIGH,Clerk#000000709,0,ven accounts haggle 
4201379,47308,O,176555.21,1995-07-03,1-URGENT,Clerk#000000613,0,o beans nag instructions. ironic ideas brea
4201380,104626,F,143970.11,1993-01-17,2-HIGH,Clerk#000000819,0,s are carefully unus
4201381,130342,F,28745.51,1992-12-28,3-MEDIUM,Clerk#000000404,0,final requests haggle carefully alongside of 
4201382,57400,O,30683.75,1995-08-02,1-URGENT,Clerk#000000666,0,y. carefully even pinto beans ar
4201383,56014,F,189452.85,1994-12-24,2-HIGH,Clerk#000000788,0,"d, pending foxes sublate slyly by the sly"
4201408,25910,F,33453.38,1992-04-27,1-URGENT,Clerk#000000360,0,ily final deposits. carefully ironic accounts wake carefully requ
4201409,5704,O,235562.16,1997-10-07,4-NOT SPECIFIED,Clerk#000000975,0,essly even requests. slyly regular theodolites
4201410,4547,O,146892.33,1997-11-01,3-MEDIUM,Clerk#000000974,0,. unusual requests are furiously. instructions are. slyly regular pi
4201411,70345,F,109410.17,1993-05-07,4-NOT SPECIFIED,Clerk#000000614,0, packages boost slyly. reg
4201412,113845,F,250452.22,1992-04-21,4-NOT SPECIFIED,Clerk#000000784,0,lites wake quickly. even dinos kindle slyly
4201413,134831,F,54694.13,1994-09-13,5-LOW,Clerk#000000082,0,inal packages wake fluf
4201414,51406,F,185555.26,1994-01-20,1-URGENT,Clerk#000000127,0," silent grouches. packages sleep furiously along the even, "
4201415,113674,F,158569.51,1994-12-29,4-NOT SPECIFIED,Clerk#000000579,0,", final theodolites nag. slyly express excuses integrate furiously s"
4201440,85699,F,198685.82,1992-12-24,5-LOW,Clerk#000000226,0," boost final, final foxes. ironic, express requests could ha"
4201441,17815,O,56398.09,1996-07-30,3-MEDIUM,Clerk#000000598,0,ronic requests. carefull
4201442,138544,F,164476.01,1994-01-29,5-LOW,Clerk#000000420,0,epitaphs lose instructions. express foxes nag slyly unusual fox
4201443,52288,O,42486.18,1995-06-21,4-NOT SPECIFIED,Clerk#000000783,0,"through the quickly regular requests wake final, ironic mul"
4201444,77548,O,127736.93,1996-06-30,3-MEDIUM,Clerk#000000891,0,ake slyly. furiously regular deposits affix after the
4201445,119662,O,150628.88,1995-10-26,1-URGENT,Clerk#000000277,0,he boldly bold depende
4201446,96889,O,92437.89,1998-02-24,2-HIGH,Clerk#000000311,0,ly. requests use blithely. bold deposits after the pinto beans
4201447,136123,O,270044.19,1997-04-16,5-LOW,Clerk#000000667,0," carefully above the regular ideas. final, re"
4201472,17068,F,100098.33,1993-02-28,5-LOW,Clerk#000000868,0,ven packages. quickly speci
4201473,52141,F,24231.14,1994-04-12,5-LOW,Clerk#000000532,0,ar pinto beans sleep quickly furiously special packages. pinto beans abou
4201474,5482,O,68960.50,1997-03-30,5-LOW,Clerk#000000069,0,"ts? carefully unusual packages wake after the regular, pending packages. iro"
4201475,7210,F,76319.61,1994-12-29,2-HIGH,Clerk#000000280,0,xes cajole from the
4201476,104080,O,286435.10,1998-02-25,2-HIGH,Clerk#000000590,0,he regular courts nod accor
4201477,108449,O,21314.46,1996-08-05,1-URGENT,Clerk#000000387,0,ronic platelets. theodolites sleep against the sometimes ironic theodoli
4201478,36220,F,176671.49,1994-08-13,4-NOT SPECIFIED,Clerk#000000103,0,furiously ironic depos
4201479,43397,O,138058.61,1997-01-18,1-URGENT,Clerk#000000355,0,fily after the carefully pending accounts. furiously ironic requ
4201504,68938,F,217859.51,1994-10-18,4-NOT SPECIFIED,Clerk#000000747,0,as promise after the special
4201505,35941,O,248715.04,1997-03-01,5-LOW,Clerk#000000425,0,dependencies across the pending Tiresias nod fluffily express
4201506,127936,P,124505.48,1995-04-09,2-HIGH,Clerk#000000063,0,"ully unusual foxes haggle special, re"
4201507,101974,F,225714.31,1993-04-03,1-URGENT,Clerk#000000949,0,dolites according to the pending accounts hinder always car
4201508,101068,O,42288.61,1997-09-27,2-HIGH,Clerk#000000226,0,the never ironic deposits. blithely final requests haggle deposits. f
4201509,16276,O,191210.44,1996-06-05,5-LOW,Clerk#000000127,0,ts after the pinto beans haggle fluffily after the even ideas. final 
4201510,80143,F,106226.40,1992-09-16,5-LOW,Clerk#000000590,0,heodolites. always 
4201511,111193,O,85890.93,1997-06-06,2-HIGH,Clerk#000000794,0,s. blithely special accounts d
4201536,88082,F,82293.39,1993-05-16,1-URGENT,Clerk#000000111,0,ully even excuses according to the regular packages print silently blithel
4201537,39016,F,73663.20,1992-01-16,2-HIGH,Clerk#000000423,0,packages dazzle around the blithely even 
4201538,73360,O,218310.95,1996-10-02,4-NOT SPECIFIED,Clerk#000000426,0,ave pinto beans haggle. ironic foxes nag quickl
4201539,88696,O,230837.14,1997-05-26,1-URGENT,Clerk#000000927,0,ely ironic accounts
4201540,144058,O,174460.21,1997-04-13,5-LOW,Clerk#000000448,0,asymptotes haggle bold packages. daringly bold deposits wake furiously
4201541,24733,F,113109.11,1992-06-26,4-NOT SPECIFIED,Clerk#000000443,0,"regular, regular accounts. even, ironic foxes nag slyly above the s"
4201542,23492,F,326726.88,1992-11-27,2-HIGH,Clerk#000000196,0,ully final deposits. express pinto
4201543,19030,O,2777.24,1997-09-25,2-HIGH,Clerk#000000178,0,"riously even accounts are after the fluffy, eve"
4201568,31733,F,162798.09,1995-03-04,2-HIGH,Clerk#000000617,0,"y. regular, regular "
4201569,74857,F,185473.25,1994-08-14,2-HIGH,Clerk#000000129,0,es are slyly. quickly special pains hag
4201570,39205,O,85015.70,1997-06-29,1-URGENT,Clerk#000000834,0,ly even waters according to the deposits haggle blithely about the 
4201571,101408,F,224406.34,1992-12-12,4-NOT SPECIFIED,Clerk#000000192,0,s carefully ironic packages. fi
4201572,52828,P,192297.16,1995-05-29,3-MEDIUM,Clerk#000000740,0,ly express instruction
4201573,6098,F,302161.79,1992-03-08,2-HIGH,Clerk#000000800,0,olites sleep along the blithe
4201574,35680,O,70811.77,1996-10-26,4-NOT SPECIFIED,Clerk#000000919,0," along the regular, ironic pains need to are a"
4201575,119290,O,246637.72,1996-02-10,5-LOW,Clerk#000000963,0,o beans up the slyly final pinto beans are quickly final escapa
4201600,133499,F,198448.98,1993-10-20,5-LOW,Clerk#000000990,0,nding grouches slee
4201601,8461,F,206914.08,1993-06-02,1-URGENT,Clerk#000000847,0,t pinto beans snooze quickly according to the furiously regular 
4201602,129172,F,224387.11,1994-11-10,3-MEDIUM,Clerk#000000013,0, silent instructions. special ideas haggle. slyly final ideas integrat
4201603,39181,F,221435.54,1994-03-29,2-HIGH,Clerk#000000559,0,lyly even foxes. slyly ironic deposits according to
4201604,138112,F,109691.63,1992-03-09,5-LOW,Clerk#000000741,0,ccounts. carefully special instructions cajole slyly. ir
4201605,142157,F,46054.55,1992-07-23,4-NOT SPECIFIED,Clerk#000000817,0,the fluffily final excuses. furiously regu
4201606,24683,F,358007.26,1994-01-02,1-URGENT,Clerk#000000017,0,. excuses wake carefully final ide
4201607,93649,O,174903.71,1998-02-15,1-URGENT,Clerk#000000453,0,", regular accounts boost regular requests. theodolites c"
4201632,143740,F,120863.52,1994-12-20,1-URGENT,Clerk#000000825,0,se quickly according to the blithely pending requests. always even platelet
4201633,64891,O,37111.65,1997-10-29,3-MEDIUM,Clerk#000000749,0,ly before the sheaves. quickly careful instructions against
4201634,121663,O,103193.20,1995-11-28,1-URGENT,Clerk#000000181,0,forges. carefully silent accounts sleep according to th
4201635,123317,O,60038.84,1997-01-13,5-LOW,Clerk#000000172,0,ronic dinos sleep. ironic foxes sle
4201636,36652,F,114806.43,1995-01-15,4-NOT SPECIFIED,Clerk#000000529,0,ts: thinly regular courts sleep after the furiously 
4201637,82195,O,189115.92,1996-03-26,5-LOW,Clerk#000000846,0,"des cajole carefully blithely regular requests. ironic, r"
4201638,76099,F,160554.07,1994-12-14,1-URGENT,Clerk#000000122,0,ress instructions boost fluffily slyly regular requests. carefully regu
4201639,82966,O,58469.36,1996-12-11,3-MEDIUM,Clerk#000000261,0,special pinto beans detect along the regula
4201664,142555,F,46373.21,1992-02-26,2-HIGH,Clerk#000000952,0,as above the furious deposits. even ideas could was qui
4201665,106270,F,235366.10,1992-01-14,4-NOT SPECIFIED,Clerk#000000009,0,e fluffily packages. express deposits sle
4201666,7522,O,135507.93,1995-07-01,2-HIGH,Clerk#000000220,0,t the brave accounts.
4201667,110884,O,249417.11,1996-03-04,2-HIGH,Clerk#000000099,0,ackages. final pinto beans besides the express 
4201668,149528,O,170738.93,1998-07-03,3-MEDIUM,Clerk#000000630,0, use carefully. slyly unusual pearls wake above the slowly ironic 
4201669,10064,F,140825.62,1992-09-29,3-MEDIUM,Clerk#000000387,0,round the ironic packages are 
4201670,80167,F,91059.92,1992-10-05,3-MEDIUM,Clerk#000000177,0, carefully express pinto beans along the slyly pending requests cajole ironic
4201671,64537,F,252805.22,1993-12-06,3-MEDIUM,Clerk#000000714,0, escapades. carefully pending accounts kindle slyly pending asympto
4201696,141878,F,223286.66,1993-07-08,5-LOW,Clerk#000000310,0,es. carefully pending idea
4201697,130483,O,181385.58,1995-10-07,1-URGENT,Clerk#000000274,0, boost slyly regular packages;
4201698,18817,F,195656.23,1993-10-11,3-MEDIUM,Clerk#000000349,0,lphins cajole ironica
4201699,24065,O,339274.45,1998-01-22,4-NOT SPECIFIED,Clerk#000000558,0, the slyly ironic requests. carefully unusual accounts hag
4201700,45112,O,242434.39,1998-02-24,4-NOT SPECIFIED,Clerk#000000132,0,ag quickly blithely even packa
4201701,91948,O,172561.97,1997-02-23,1-URGENT,Clerk#000000187,0,jole blithely against the unusual dinos: 
4201702,68917,F,72527.93,1993-04-19,2-HIGH,Clerk#000000022,0,ajole carefully against the ironic packages. carefully speci
4201703,112214,P,196944.73,1995-05-06,3-MEDIUM,Clerk#000000460,0,express packages grow id
4201728,28900,O,38558.71,1996-07-18,2-HIGH,Clerk#000000385,0,ely ironic instructions alongside
4201729,148847,F,152217.10,1994-05-02,1-URGENT,Clerk#000000558,0,egular requests. carefully pending pinto beans cajole slyly. slyly special acc
4201730,117034,F,310872.56,1992-04-10,4-NOT SPECIFIED,Clerk#000000723,0,al deposits are quick
4201731,38516,O,96536.53,1998-07-26,5-LOW,Clerk#000000393,0,deposits grow. furiously dogged accounts use carefully against the sl
4201732,80131,F,117213.23,1993-01-05,5-LOW,Clerk#000000467,0, fluffily even packages cajole quickly after 
4201733,34327,O,62715.43,1997-04-25,4-NOT SPECIFIED,Clerk#000000153,0,packages thrash blithely about the quickly ironic instruct
4201734,6179,F,33753.16,1993-01-03,5-LOW,Clerk#000000171,0,s wake about the carefully quiet foxes. quickly
4201735,43079,F,43033.94,1994-03-16,5-LOW,Clerk#000000720,0,fully along the carefully silent notor
4201760,121459,O,175982.05,1995-11-23,5-LOW,Clerk#000000993,0,ackages. quickly regular packages among the 
4201761,128317,F,181808.71,1994-05-22,2-HIGH,Clerk#000000178,0,"bold theodolites nag blithely regular ideas. bold, e"
4201762,47488,O,139160.83,1996-03-04,1-URGENT,Clerk#000000733,0,latelets wake express excu
4201763,125977,F,262799.77,1992-03-18,1-URGENT,Clerk#000000381,0,usly fluffily final p
4201764,34342,O,35267.28,1997-05-11,4-NOT SPECIFIED,Clerk#000000033,0,. busy deposits after the slyly express deposits wake ruthlessly above the car
4201765,116360,F,50343.38,1994-11-10,2-HIGH,Clerk#000000784,0,al requests. furiously regular requests hang s
4201766,111616,O,52849.84,1997-06-20,2-HIGH,Clerk#000000683,0,ke blithely special accounts. carefull
4201767,15910,O,195799.76,1996-05-22,2-HIGH,Clerk#000000420,0,posits. furiously busy excuses according 
4201792,85033,F,88773.60,1993-05-05,5-LOW,Clerk#000000985,0,thely bold platelets are slyly slyly 
4201793,68083,F,321583.26,1993-11-09,2-HIGH,Clerk#000000829,0,l platelets solve slyly along 
4201794,48959,F,171438.21,1992-03-02,5-LOW,Clerk#000000051,0, alongside of the slyly pending 
4201795,94972,F,278907.01,1992-02-29,2-HIGH,Clerk#000000593,0,"hely even, fluffy deposits! asymptotes above the slyly regular deposits "
4201796,30781,F,37229.66,1992-05-01,5-LOW,Clerk#000000321,0,arefully special courts sleep slyly. slyly final ideas a
4201797,127192,F,66882.16,1992-12-09,5-LOW,Clerk#000000041,0,arefully express pinto be
4201798,33481,P,258674.16,1995-04-11,4-NOT SPECIFIED,Clerk#000000788,0,accounts integrate blithely p
4201799,54796,O,31134.44,1995-08-31,3-MEDIUM,Clerk#000000606,0,y regular deposits. blithely pen
4201824,99838,F,91602.42,1993-07-17,3-MEDIUM,Clerk#000000888,0,e carefully regular pinto beans haggle
4201825,77119,O,111193.01,1997-08-29,2-HIGH,Clerk#000000469,0," affix among the ironic, final packages. furiously fin"
4201826,117128,O,152664.45,1996-01-07,2-HIGH,Clerk#000000178,0,lar pinto beans nag. blithely final deposits 
4201827,120070,O,183111.39,1996-10-06,5-LOW,Clerk#000000054,0, to the accounts. silent requests about the slyly bold deposits lose
4201828,36358,O,208982.25,1997-05-21,1-URGENT,Clerk#000000992,0,"requests wake slyly according to the permanent, pending packages. q"
4201829,107836,O,123360.18,1996-11-03,4-NOT SPECIFIED,Clerk#000000943,0,ons nod furiously ironic deposits. special package
4201830,74839,F,114367.47,1994-06-06,3-MEDIUM,Clerk#000000110,0, requests haggle; blithely bold theodolites was. blith
4201831,46415,O,140772.85,1995-07-16,4-NOT SPECIFIED,Clerk#000000168,0,across the closely final theodolites. regular
4201856,93832,F,66417.80,1993-08-27,5-LOW,Clerk#000000153,0,. furiously express packages under the fluffily even packages a
4201857,54361,F,164661.14,1993-10-20,1-URGENT,Clerk#000000597,0, blithely final requests. carefully unusual
4201858,129473,O,91566.95,1995-12-21,3-MEDIUM,Clerk#000000249,0,lar pinto beans. accounts snooze among the 
4201859,143668,F,107532.09,1993-10-17,1-URGENT,Clerk#000000351,0, carefully sometimes unusual deposits. car
4201860,74753,O,17748.11,1995-11-18,5-LOW,Clerk#000000669,0,sts use quietly alongside of the carefully bold requests. qu
4201861,116180,F,156264.71,1992-04-25,5-LOW,Clerk#000000924,0,sly carefully special requests
4201862,72083,O,358968.98,1997-03-10,1-URGENT,Clerk#000000410,0, carefully carefully iro
4201863,93052,O,190070.13,1995-06-21,5-LOW,Clerk#000000679,0,ctions sleep throughout the evenly regular accounts. quickly regular pinto bea
4201888,17128,O,112417.28,1996-07-17,3-MEDIUM,Clerk#000000904,0,ding to the blithely ironic deposits print accounts.
4201889,145292,O,41797.10,1996-06-08,5-LOW,Clerk#000000572,0,"es. regular dependencies cajole carefully ironic, even pl"
4201890,64028,O,199152.90,1997-04-11,2-HIGH,Clerk#000000832,0,s need to nag slyly about the slyly ironic instructions? fluffily pend
